id,left,top,right,bottom
"21424",6056184.49651975,3748182.96101881,6056415.43662743,3747982.96101881
"21427",6056184.49651975,3747582.96101881,6056415.43662743,3747382.96101881
"21426",6056184.49651975,3747782.96101881,6056415.43662743,3747582.96101881
"21429",6056184.49651975,3747182.96101881,6056415.43662743,3746982.96101881
"21428",6056184.49651975,3747382.96101881,6056415.43662743,3747182.96101881
"21431",6056184.49651975,3746782.96101881,6056415.43662743,3746582.96101881
"21430",6056184.49651975,3746982.96101881,6056415.43662743,3746782.96101881
"21433",6056184.49651975,3746382.96101881,6056415.43662743,3746182.96101881
"21432",6056184.49651975,3746582.96101881,6056415.43662743,3746382.96101881
"21435",6056184.49651975,3745982.96101881,6056415.43662743,3745782.96101881
"21434",6056184.49651975,3746182.96101881,6056415.43662743,3745982.96101881
"21437",6056184.49651975,3745582.96101881,6056415.43662743,3745382.96101881
"21436",6056184.49651975,3745782.96101881,6056415.43662743,3745582.96101881
"21439",6056184.49651975,3745182.96101881,6056415.43662743,3744982.96101881
"21438",6056184.49651975,3745382.96101881,6056415.43662743,3745182.96101881
"21441",6056184.49651975,3744782.96101881,6056415.43662743,3744582.96101881
"21440",6056184.49651975,3744982.96101881,6056415.43662743,3744782.96101881
"21443",6056184.49651975,3744382.96101881,6056415.43662743,3744182.96101881
"21442",6056184.49651975,3744582.96101881,6056415.43662743,3744382.96101881
"21445",6056184.49651975,3743982.96101881,6056415.43662743,3743782.96101881
"21444",6056184.49651975,3744182.96101881,6056415.43662743,3743982.96101881
"21447",6056184.49651975,3743582.96101881,6056415.43662743,3743382.96101881
"21446",6056184.49651975,3743782.96101881,6056415.43662743,3743582.96101881
"21449",6056184.49651975,3743182.96101881,6056415.43662743,3742982.96101881
"21448",6056184.49651975,3743382.96101881,6056415.43662743,3743182.96101881
"21451",6056184.49651975,3742782.96101881,6056415.43662743,3742582.96101881
"21450",6056184.49651975,3742982.96101881,6056415.43662743,3742782.96101881
"21453",6056184.49651975,3742382.96101881,6056415.43662743,3742182.96101881
"21452",6056184.49651975,3742582.96101881,6056415.43662743,3742382.96101881
"21455",6056184.49651975,3741982.96101881,6056415.43662743,3741782.96101881
"21454",6056184.49651975,3742182.96101881,6056415.43662743,3741982.96101881
