name,lon,lat,code,fclass,osm_id
ایستگاه اتوبوس,54.373975071526125,31.834505386023917,2421,shelter,365005745
پارک کوثر,54.38654568103757,31.82303704447814,2204,park,365104186
,54.36708085,31.883179799999997,2204,park,1359901709
فهادان,54.37133351628661,31.90528519220585,2301,restaurant,371745859
مجتمع تجاری تفریحی امیرمال,54.38171699257774,31.85631722950522,2505,department_store,381176247
رفاه,54.36328928089522,31.874354605940358,2511,convenience,381275795
,54.39036080988394,31.894935343868834,2204,park,1359901709
هتل ارگ جدید,54.35097264345187,31.818120147805164,2401,hotel,383101440
آتشکده زرتشتیان,54.3733156174801,31.881149135298724,2721,attraction,383298192
,54.35642515472809,31.82427843079099,2204,park,1359901709
,54.3563871,31.82367195,2204,park,1359901709
,54.35609050178267,31.823999232847154,2204,park,1359901709
,54.356966400000005,31.824263850000005,2204,park,1359901709
,54.3560418,31.824337350000004,2204,park,1359901709
,54.35725334057509,31.824704369170455,2204,park,1359901709
,54.3730605872186,31.88133545459077,2204,park,1359901709
,54.35656760749744,31.824789700431957,2204,park,1359901709
,54.356976846594385,31.824865548293722,2204,park,1359901709
,54.35566792407026,31.824549692523036,2204,park,1359901709
بیمارستان مرتاض,54.3844977897592,31.85631514661553,2110,hospital,383357911
سینما ایران,54.370828100000004,31.8814565,2203,cinema,383357912
,54.3720150890185,31.904348703753055,2204,park,1359901709
مسجد جامع یزد,54.368510626939,31.901437456800053,2721,attraction,5705856
هتل سنتی کهن کاشانه,54.37200030512493,31.904349168308546,2401,hotel,5705859
هتل سنتی کهن کاشانه,54.37200030512493,31.904349168308546,2401,hotel,5705859
هتل ملک التجار,54.36561916809758,31.895495421176566,2401,hotel,5705857
هتل سنتی مهر,54.36713682178759,31.89731051703432,2401,hotel,5705858
,54.371412234252595,31.904888496462714,2204,park,1359901709
هتل سنتی یزد,54.36994928742409,31.8926304841263,2401,hotel,383427770
تکیه امیر چخماق,54.37004551260505,31.893316527919804,2721,attraction,383427771
هتل ارگ جدید یزد,54.35072289360825,31.818096247659394,2401,hotel,384626648
ایستگاه آتش نشانی شماره 1 شهرداری,54.35919935712989,31.87982202888239,2002,fire_station,388129088
,54.34890730028991,31.848774313114994,2204,park,1359901709
پردیس دانشگاه علوم پزشکی صدوقی یزد,54.33787579175581,31.842291445120182,2081,university,422372988
هنرستان دخترانه صنایع لاستیک,54.35709736350366,31.841923466076878,2082,school,424116138
دبستان آینه ساز,54.35752958261397,31.84112653692083,2082,school,424121126
مدارس سما,54.34681910069295,31.849686337518538,2082,school,424129248
دبستان پسرانه دین و دانش,54.35953860465195,31.852166388420034,2082,school,425386379
دبستان دختزانه دین و دانش,54.35934667725107,31.852474259179232,2082,school,425386380
دبیرستان دخترانه روش نوین,54.359740535139316,31.851851661093928,2082,school,425386381
دبستان پسرانه یاوری,54.358466959473326,31.852528189203056,2082,school,425388672
دانشگاه علمی کاربردی فرهنگ و هنر,54.356552620613066,31.857393045602276,2081,university,425393118
دانشکده فنی امام علی ع,54.36067302914872,31.85514271228177,2081,university,425393119
دانشگاه غیر انتفاعی امام جواد ع,54.3728807335394,31.829859418479614,2081,university,425417658
ایستگاه شماره 9 آتش نشانی,54.365341117544645,31.850936079352568,2002,fire_station,425420168
,54.358978783432306,31.8509075754907,2204,park,1359901709
دانشکده فنی شهید صدوقی,54.35271543250971,31.86547239099887,2081,university,429381779
