id,left,top,right,bottom,center_x,center_y,count_muslim,count_muslim_shia,count_jewish,count_theme_park,count_graveyard,count_sports_centre,count_park,count_attraction,count_university,count_school,count_mall,count_hospital,count_bank,count_department_store,count_clinic,count_hotel,count_pitch,count_restaurant,count_swimming_pool,count_guesthouse,count_college,count_library,count_cinema,count_shelter,count_convenience,count_fire_station,count_stadium,count_car_dealership,count_monument,count_market_place,count_police,count_museum,count_prison,count_courthouse,count_town_hall,count_castle,count_cafe,count_supermarket,count_fast_food,count_hairdresser,count_optician,count_jeweller,count_pharmacy,count_bookshop,count_computer_shop,count_mobile_phone_shop,count_atm,count_bakery,count_post_office,count_doctors,count_greengrocer,count_shoe_shop,count_clothes,count_sports_shop,count_recycling,count_camp_site,count_beverages,count_community_centre,count_gift_shop,count_camera_surveillance,count_hostel,count_kindergarten,count_furniture_shop,count_bicycle_shop,count_beauty_shop,count_artwork,count_caravan_site,count_butcher,count_travel_agent,count_chalet,count_car_wash,count_doityourself,count_dentist,count_food_court,count_drinking_water,count_laundry,count_toy_shop,count_stationery,count_florist,count_chemist,count_veterinary,count_motel,count_total
21287,6056011.291439,3744482.96101881,6056242.23154667,3744282.96101881,6056126.761492835,3744382.96101881,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
21286,6056011.291439,3744682.96101881,6056242.23154667,3744482.96101881,6056126.761492835,3744582.96101881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
21289,6056011.291439,3744082.96101881,6056242.23154667,3743882.96101881,6056126.761492835,3743982.96101881,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
21288,6056011.291439,3744282.96101881,6056242.23154667,3744082.96101881,6056126.761492835,3744182.96101881,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
21291,6056011.291439,3743682.96101881,6056242.23154667,3743482.96101881,6056126.761492835,3743582.96101881,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
21290,6056011.291439,3743882.96101881,6056242.23154667,3743682.96101881,6056126.761492835,3743782.96101881,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
21293,6056011.291439,3743282.96101881,6056242.23154667,3743082.96101881,6056126.761492835,3743182.96101881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21292,6056011.291439,3743482.96101881,6056242.23154667,3743282.96101881,6056126.761492835,3743382.96101881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21295,6056011.291439,3742882.96101881,6056242.23154667,3742682.96101881,6056126.761492835,3742782.96101881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21294,6056011.291439,3743082.96101881,6056242.23154667,3742882.96101881,6056126.761492835,3742982.96101881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21297,6056011.291439,3742482.96101881,6056242.23154667,3742282.96101881,6056126.761492835,3742382.96101881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21296,6056011.291439,3742682.96101881,6056242.23154667,3742482.96101881,6056126.761492835,3742582.96101881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21299,6056011.291439,3742082.96101881,6056242.23154667,3741882.96101881,6056126.761492835,3741982.96101881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21298,6056011.291439,3742282.96101881,6056242.23154667,3742082.96101881,6056126.761492835,3742182.96101881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21301,6056011.291439,3741682.96101881,6056242.23154667,3741482.96101881,6056126.761492835,3741582.96101881,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21300,6056011.291439,3741882.96101881,6056242.23154667,3741682.96101881,6056126.761492835,3741782.96101881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21303,6056011.291439,3741282.96101881,6056242.23154667,3741082.96101881,6056126.761492835,3741182.96101881,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21302,6056011.291439,3741482.96101881,6056242.23154667,3741282.96101881,6056126.761492835,3741382.96101881,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21305,6056011.291439,3740882.96101881,6056242.23154667,3740682.96101881,6056126.761492835,3740782.96101881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
